 El.Ion   E_thr     E_max      E_0    sigma_0      ya        P         yw        y0        y1
 16  2  3.483e+01 1.995e+02 2.027e+00 6.666e+00 5.454e+01 8.611e+00 4.109e+00 1.568e+01 9.421e+00
 16  3  4.731e+01 2.164e+02 2.173e+00 2.606e+00 6.641e+01 8.655e+00 1.863e+00 1.975e+01 3.361e+00
 16  4  7.268e+01 2.350e+02 1.713e-01 5.072e-04 1.986e+02 1.307e+01 7.880e-01 9.424e+01 6.265e-01
 16  5  8.805e+01 2.557e+02 1.413e+01 9.139e+00 1.656e+03 3.626e+00 0.000e+00 0.000e+00 0.000e+00
 16  6  2.809e+02 2.569e+03 3.757e-01 5.703e-01 1.460e+02 1.135e+01 1.503e+00 2.222e+02 4.606e+00
 16  7  3.282e+02 2.641e+03 1.462e+01 3.161e+01 1.611e+01 8.642e+00 1.153e-03 1.869e+01 3.037e-01
 16  8  3.791e+02 2.705e+03 1.526e-01 9.646e+03 1.438e+03 5.977e+00 1.492e+00 1.615e-03 4.049e-01
 16  9  4.471e+02 2.782e+03 1.040e+01 5.364e+01 3.641e+01 7.090e+00 2.310e+00 1.775e+01 1.663e+00
 16 10  5.048e+02 2.859e+03 6.485e+00 1.275e+01 6.583e+01 7.692e+00 1.678e+00 3.426e+01 1.370e-01
 16 11  5.647e+02 2.941e+03 2.443e+00 3.490e-01 5.411e+02 7.769e+00 7.033e-01 2.279e+02 1.172e+00
 16 12  6.517e+02 3.029e+03 1.474e+01 2.294e+04 1.529e+00 2.568e+01 2.738e+01 2.203e-02 1.073e-02
 16 13  7.072e+02 3.107e+03 3.310e+01 2.555e+01 3.821e+01 5.037e+00 0.000e+00 0.000e+00 0.000e+00
 16 14  3.224e+03 5.000e+04 4.390e+02 2.453e+01 4.405e+01 1.765e+00 0.000e+00 0.000e+00 0.000e+00
 16 15  3.494e+03 5.004e+04 1.104e+02 2.139e+02 3.288e+01 2.963e+00 0.000e+00 0.000e+00 0.000e+00
 26  0  7.902e+00 6.600e+01 5.461e-02 3.062e-01 2.671e+07 7.923e+00 2.069e+01 1.382e+02 2.481e-01
 26  1  1.619e+01 7.617e+01 1.761e-01 4.365e+03 6.298e+03 5.204e+00 1.141e+01 9.272e+01 1.075e+02
 26  2  3.065e+01 8.705e+01 1.698e-01 6.107e+00 1.555e+03 8.055e+00 8.698e+00 1.760e+02 1.847e+01
 26  3  5.480e+01 1.067e+02 2.544e+01 3.653e+02 8.913e+00 6.538e+00 5.602e-01 0.000e+00 0.000e+00
 26  4  7.501e+01 1.288e+02 7.256e-01 1.523e-03 3.736e+01 1.767e+01 5.064e+01 8.871e+01 5.280e-02
 26  5  9.906e+01 1.527e+02 2.656e+00 5.259e-01 1.450e+01 1.632e+01 1.558e+01 3.361e+01 3.743e-03
 26  6  1.250e+02 1.783e+02 5.059e+00 2.420e+04 4.850e+04 2.374e+00 2.516e-03 4.546e-01 2.683e+01
 26  7  1.511e+02 2.055e+02 7.098e-02 1.979e+01 1.745e+04 6.750e+00 2.158e+02 2.542e+03 4.672e+02
 26  8  2.336e+02 9.211e+02 6.741e+00 2.687e+01 1.807e+02 6.290e+00 2.387e-04 2.494e+01 8.251e+00
 26  9  2.621e+02 9.590e+02 6.886e+01 6.470e+01 2.062e+01 4.111e+00 2.778e-04 1.190e-05 6.570e-03
 26 10  2.902e+02 9.983e+02 8.284e+00 3.281e+00 5.360e+01 8.571e+00 3.279e-01 2.971e+01 5.220e-01
 26 11  3.308e+02 1.039e+03 6.295e+00 1.738e+00 1.130e+02 8.037e+00 3.096e-01 4.671e+01 1.425e-01
 26 12  3.610e+02 1.081e+03 1.317e-01 2.791e-03 2.487e+03 9.791e+00 6.938e-01 2.170e+03 6.852e-03
 26 13  3.922e+02 1.125e+03 8.509e-01 1.454e-01 1.239e+03 8.066e+00 4.937e-01 4.505e+02 2.504e+00
 26 14  4.570e+02 1.181e+03 5.555e-02 2.108e+02 2.045e+04 6.033e+00 1.885e-03 2.706e-04 1.628e+00
 26 15  4.893e+02 1.216e+03 2.873e+01 1.207e+01 5.150e+02 3.846e+00 0.000e+00 0.000e+00 0.000e+00
 26 16  1.262e+03 7.651e+03 3.444e-01 1.452e+00 3.960e+02 1.013e+01 1.264e+00 2.891e+01 3.404e+00
 26 17  1.358e+03 7.769e+03 3.190e+01 2.388e+00 2.186e+01 9.589e+00 2.902e-02 3.805e+01 4.805e-01
 26 18  1.456e+03 7.918e+03 7.519e-04 6.066e-05 1.606e+06 8.813e+00 4.398e+00 1.915e+06 3.140e+01
 26 19  1.582e+03 8.041e+03 2.011e+01 4.455e-01 4.236e+01 9.724e+00 2.757e+00 6.847e+01 3.989e+01
 26 20  1.689e+03 8.184e+03 9.243e+00 1.098e+01 7.637e+01 7.962e+00 1.748e+00 4.446e+01 3.512e+00
 26 21  1.799e+03 8.350e+03 9.713e+00 7.204e-02 1.853e+02 8.843e+00 9.551e-03 1.702e+02 4.263e+00
 26 22  1.950e+03 8.484e+03 4.575e+01 2.580e+04 1.358e+00 2.604e+01 2.723e+01 3.582e-02 8.712e-03
 26 23  2.046e+03 8.638e+03 7.326e+01 1.276e+01 4.914e+01 4.941e+00 0.000e+00 0.000e+00 0.000e+00
 26 24  8.829e+03 5.000e+04 1.057e+03 1.195e+01 5.769e+01 1.718e+00 0.000e+00 0.000e+00 0.000e+00
 26 25  9.278e+03 5.000e+04 2.932e+02 8.099e+01 3.288e+01 2.963e+00 0.000e+00 0.000e+00 0.000e+00
